aco_id,aco_name,aco_service_area,agreement_period_num,initial_start_date,current_start_date,re-entering_aco,basic_track,basic_track_level,enhanced_track,high_revenue_aco,low_revenue_aco,adv_pay,aim,aip,snf_3-day_rule_waiver,prospective_assignment,retrospective_assignment,aco_address,aco_public_reporting_website,aco_exec_name,aco_exec_email,aco_exec_phone,aco_public_name,aco_public_email,aco_public_phone,aco_compliance_contact_name,aco_medical_director_name,lat,long
A2811,"Abacus Health LLC",AZ,3,01/01/2016,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"5055 East Broadway Blvd., Suite A-215, Tucson, AZ, 85711",http://www.tmcaz.com/abacus-health/about-us/public-reporting,"Jim Stelzer",jstelzer@azacp.com,"(520) 547-4918","Kimberly Clifton",kclifton@azacp.com,"(520) 545-1192","Tracy Rohn","Melissa Levine",32.2227337,-110.884606
A1596,"Accountable Care Coalition of Georgia, LLC.",GA,4,01/01/2013,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,"Karen Holt",Karen.Holt@WellCare.com,"(281) 733-6257","Karen Holt",Karen.Holt@WellCare.com,"(281) 733-6257","Kristin Buettner","Theresa Jacobs",28.0316824,-82.5486719
A4873,"Accountable Care Coalition of Northeast Partners, LLC","DC, MD, NJ, PA, VA, WV",2,01/01/2020,01/01/2020,1,1,E,0,0,1,0,0,0,1,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",https://www.accnepartners.com/content/dam/centene/aco/pdfs/accnepartners/A4873RequiredACOInformationforPublicReporting.pdf,"Shawn Bassett",Shawn.Bassett@wellcare.com,"(914) 715-5526","Chris Price",Chris.Price@WellCare.com,"(813) 206-1910","Kristin Buettner","farzana ajmal",28.0316824,-82.5486719
A5431,"Accountable Care Coalition of Quality Health II, LLC","NM, TX",1,01/01/2024,01/01/2024,0,0,N/A,1,0,1,0,0,0,0,0,1,"8725 Henderson Road, REN 1, Tampa, FL, 33634",ACCQualityHealthII.com,"Karen Holt",Karen.Holt@WellCare.com,"(713) 344-3088 x5",N/A,N/A,N/A,"Kristin Buettner","Brian Steele",28.0316824,-82.5486719
A4923,"Accountable Care Organization of the North Country, LLC",NY,3,01/01/2020,01/01/2020,1,1,B,0,1,0,0,0,0,0,1,0,"50 Leroy St, Potsdam, NY, 13676",https://www.aco-nc.com,"Sinead Ingersoll",sinead.ingersoll@rochesterregional.org,"(315) 742-0354","Jennifer Hajecki",Jennifer.hajecki@rochesterregional.org,"(585) 737-1085","Keri Allen","Thushyanthan Pathmalingam",44.6765532,-74.9826426
A4597,"Achiever Health Care Consultation and Management LLC",CA,2,07/01/2019,07/01/2019,1,1,E,0,0,1,0,0,0,0,1,0,"1420 River Park Drive Suite 200, Sacramento, CA, 95815",http://achieveraco.com/public-reporting/,"Venu Kondle",VenuKondle@gmail.com,"(916) 277-8824","kalpesh Patel",kal@medpharmservices.com,"(510) 406-3089","Sz Kabir","Venu Kondle",38.597567,-121.4392874
A5460,"ACME Health Partners ACO",GA,3,01/01/2024,01/01/2024,1,0,N/A,1,0,1,0,0,0,0,0,1,"116 Smith St., Tennille, GA, 31089",ACME-ACO.org,"Carla Belcher",cbelcher@chcsga.org,"(478) 707-7001","Stephen Marquess",smarquess@acme-aco.org,"(706) 540-9309","Stephen Marquess","Mushtaq Ahmed",32.9368461,-82.812629
A4749,"ACMG Health Systems, Inc.","CA, FL, GA, PA, SC",3,01/01/2020,01/01/2020,1,1,B,0,0,1,0,0,0,0,1,0,"806 South Douglas Road, Suite 700, Coral Gables, FL, 33134",https://www.genuinehealthgroup.com/acmg-aco,"Joseph Caruncho",jlc@genuinehealthgroup.com,"(786) 878-5500","Stephany Nino",snino@genuinehealthgroup.com,"(786) 878-5505","Manuel Lopez","Pedro Carballo",25.7632924,-80.2568994
A5067,"ACO Collaborative, LLC","CA, IA, NV, SD",1,01/01/2022,01/01/2022,0,1,A,0,1,0,0,0,0,0,0,1,"7600 S Minnesota Avenue, Suite 204, Sioux Falls, SD, 57108",https://acocollaborative.org/public-reporting/,"Ann Roemen",ann.roemen@accocare.org,"(605) 444-8672","Richard Curd",bcurd@sfsh.com,"(605) 334-6730","Jami Paulson","David Young",43.4758272,-96.7265374
A3563,"ACO West Virginia","MD, OH, PA, WV",2,01/01/2018,01/01/2022,0,1,B,0,1,0,0,0,0,0,1,0,"3040 University Ave, Suite 3200, Morgantown, WV, 26505",https://acowv.org/required-disclosures,"April Oakes",april.oakes@wvumedicine.org,"(304) 285-7188","Kevin Halbritter",halbritterk@wvumedicine.org,"(304) 285-7148","Melanie Davies","Kevin Halbritter",39.653519,-79.9684041
